RegionID,SizeRank,RegionName,RegionType,StateName,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31
102001,0,United States,country,,257933.0,256300.0,258267.0,263267.0,271267.0,276300.0,279667.0,279967.0,279633.0,279600.0,279467.0,279467.0,277833.0,276333.0,276667.0,281633.0,289300.0,295933.0,299267.0,299600.0,297967.0,296333.0,293333.0,291633.0,288300.0,286600.0,286633.0,291300.0,296300.0,301300.0,306633.0,313300.0,317967.0,319300.0,318967.0,315967.0,311297.0,305163.0,308463.0,315133.0,326633.0,334000.0,340667.0,343000.0,342300.0,341300.0,340633.0,339000.0,334667.0,332967.0,337967.0,349967.0,365000.0,380000.0,391333.0,397667.0,396667.0
394913,1,"New York, NY",msa,NY,489300.0,489300.0,494333.0,503000.0,513000.0,521300.0,526300.0,528300.0,526600.0,526267.0,527600.0,529000.0,527667.0,524667.0,524667.0,528000.0,537667.0,544333.0,549000.0,547667.0,544333.0,544333.0,545667.0,549000.0,549300.0,549300.0,549300.0,552333.0,555967.0,559300.0,561300.0,566333.0,574967.0,584967.0,592967.0,597967.0,599600.0,598267.0,597967.0,597667.0,599000.0,599000.0,599000.0,596000.0,589333.0,585667.0,585333.0,587667.0,588333.0,591667.0,596333.0,608000.0,620000.0,633300.0,637967.0,634633.0,626666.0
753899,2,"Los Angeles, CA",msa,CA,703332.0,702998.0,711333.0,721333.0,735000.0,743333.0,750000.0,749667.0,742967.0,736267.0,728267.0,724633.0,719667.0,711300.0,711600.0,716267.0,732633.0,742667.0,752933.0,756567.0,759233.0,758967.0,758667.0,762333.0,765667.0,767667.0,771298.0,779965.0,787965.0,794333.0,802333.0,816000.0,826000.0,829633.0,831300.0,838294.0,844661.0,849327.0,849300.0,849633.0,858267.0,867633.0,879300.0,877666.0,868333.0,856666.0,853000.0,853000.0,854667.0,864167.0,880767.0,904100.0,924900.0,941633.0,949967.0,948333.0,940000.0
394463,3,"Chicago, IL",msa,IL,274933.0,271600.0,276267.0,284600.0,294600.0,300600.0,302267.0,301967.0,297933.0,296117.0,292783.0,288483.0,283333.0,280000.0,284300.0,291267.0,301267.0,306300.0,309467.0,306465.0,302798.0,298998.0,295633.0,290967.0,284933.0,281633.0,284967.0,291633.0,297967.0,299600.0,301300.0,304633.0,307667.0,309300.0,306300.0,303267.0,298267.0,296567.0,299900.0,304933.0,309967.0,311667.0,313333.0,313300.0,308267.0,303233.0,299600.0,296300.0,289666.0,285000.0,288167.0,298133.0,309800.0,318300.0,323333.0,324967.0,322967.0
394514,4,"Dallas, TX",msa,TX,316333.0,317333.0,320667.0,322997.0,328497.0,331797.0,332800.0,329502.0,324202.0,321168.0,318966.0,317633.0,315999.0,313333.0,313667.0,316967.0,323633.0,328467.0,330133.0,328467.0,324966.0,321633.0,319933.0,319600.0,317967.0,314667.0,313633.0,315267.0,318600.0,321633.0,325633.0,330600.0,333233.0,334267.0,332633.0,331600.0,328600.0,328567.0,330300.0,336130.0,342830.0,351163.0,359667.0,367959.0,371293.0,373293.0,373333.0,376086.0,377420.0,379086.0,384000.0,391000.0,404333.0,418300.0,431633.0,437967.0,434667.0
394692,5,"Houston, TX",msa,TX,287633.0,289133.0,291433.0,294467.0,297933.0,299633.0,299933.0,299633.0,297800.0,296165.0,293132.0,291632.0,289933.0,288300.0,289965.0,292665.0,297632.0,299300.0,299933.0,298966.0,295633.0,292316.0,289316.0,287650.0,286000.0,283333.0,284333.0,287666.0,293166.0,297133.0,301132.0,303966.0,307299.0,309967.0,313275.0,314308.0,314308.0,313596.0,315929.0,317596.0,323300.0,328300.0,333300.0,335000.0,333333.0,333333.0,332667.0,332667.0,330333.0,327667.0,327667.0,334167.0,344167.0,355833.0,363000.0,366333.0,364333.0
395209,6,"Washington, DC",msa,VA,404667.0,395667.0,395667.0,405633.0,419967.0,433267.0,439933.0,439933.0,434933.0,428300.0,423300.0,420000.0,411633.0,404633.0,405633.0,415667.0,430967.0,441600.0,448233.0,448233.0,443233.0,442083.0,440450.0,441783.0,435967.0,430967.0,433000.0,443300.0,454967.0,461633.0,466667.0,471633.0,471600.0,467479.0,461049.0,456049.0,447137.0,440267.0,440267.0,449967.0,464967.0,475000.0,483000.0,481633.0,479800.0,478467.0,479833.0,476666.0,464666.0,457667.0,466900.0,490567.0,519383.0,538483.0,548483.0,548333.0,541667.0
394856,7,"Miami, FL",msa,FL,367967.0,367933.0,366900.0,366600.0,368267.0,371067.0,372367.0,372367.0,369267.0,367967.0,366333.0,367667.0,367833.0,366167.0,363167.0,361667.0,364667.0,368500.0,371833.0,373833.0,375000.0,374967.0,374933.0,374933.0,374967.0,374967.0,374367.0,374367.0,374400.0,373333.0,373300.0,371633.0,373133.0,373166.0,376467.0,377967.0,377967.0,376333.0,375000.0,378333.0,384667.0,392967.0,401300.0,411633.0,420000.0,426667.0,431333.0,439333.0,446000.0,455333.0,467333.0,483997.0,504997.0,526663.0,551667.0,566667.0,566667.0
394974,8,"Philadelphia, PA",msa,PA,228967.0,223667.0,222333.0,225500.0,234133.0,242467.0,249967.0,251667.0,251633.0,249933.0,249600.0,247300.0,242333.0,236000.0,234333.0,239000.0,248967.0,259600.0,266600.0,269933.0,268300.0,268267.0,268267.0,268233.0,263233.0,256600.0,256600.0,261600.0,269266.0,275800.0,284133.0,291467.0,293267.0,291300.0,289300.0,287667.0,283000.0,276633.0,273300.0,274967.0,284667.0,292967.0,299600.0,299600.0,297967.0,296333.0,293300.0,289933.0,283233.0,278267.0,276633.0,284000.0,295633.0,308633.0,316300.0,318000.0,313333.0
394347,9,"Atlanta, GA",msa,GA,269633.0,270633.0,273967.0,280600.0,289900.0,296600.0,299633.0,297000.0,292000.0,288667.0,284667.0,283000.0,279666.0,277966.0,279600.0,283733.0,292100.0,299767.0,304540.0,304507.0,301540.0,298967.0,296667.0,294633.0,291933.0,290600.0,291300.0,294333.0,297667.0,299333.0,303000.0,308333.0,313333.0,316333.0,314667.0,312333.0,307667.0,307666.0,310183.0,316850.0,326850.0,338300.0,346633.0,349967.0,349667.0,349667.0,349633.0,349933.0,348267.0,347967.0,348000.0,354333.0,364667.0,379500.0,391167.0,396167.0,391333.0
