RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-09-30,2022-11-30,2023-08-31
394862,40,"Milwaukee, WI",msa,WI,2022-08-31,0.0,-0.8,0.5
394935,41,"Oklahoma City, OK",msa,OK,2022-08-31,0.2,-0.1,0.9
395012,42,"Raleigh, NC",msa,NC,2022-08-31,-1.0,-1.5,2.1
394849,43,"Memphis, TN",msa,TN,2022-08-31,0.3,0.2,3.7
395022,44,"Richmond, VA",msa,VA,2022-08-31,0.3,-0.2,0.8
394910,45,"New Orleans, LA",msa,LA,2022-08-31,-0.1,-0.9,-1.0
394807,46,"Louisville, KY",msa,KY,2022-08-31,0.1,-0.3,1.0
395053,47,"Salt Lake City, UT",msa,UT,2022-08-31,-1.1,-2.0,1.9
394669,48,"Hartford, CT",msa,CT,2022-08-31,0.1,-0.2,0.2
394425,49,"Buffalo, NY",msa,NY,2022-08-31,-0.2,-0.8,1.7
394388,50,"Birmingham, AL",msa,AL,2022-08-31,0.3,0.2,2.1
394640,51,"Grand Rapids, MI",msa,MI,2022-08-31,0.0,0.0,2.9
395031,52,"Rochester, NY",msa,NY,2022-08-31,-0.3,-0.4,0.8
395167,53,"Tucson, AZ",msa,AZ,2022-08-31,-0.4,-0.6,3.7
395169,54,"Tulsa, OK",msa,OK,2022-08-31,0.5,0.2,2.0
394619,55,"Fresno, CA",msa,CA,2022-08-31,-0.2,-1.4,0.9
753924,56,"Urban Honolulu, HI",msa,HI,2022-08-31,0.0,-0.7,-0.9
394938,57,"Omaha, NE",msa,NE,2022-08-31,0.1,0.0,1.5
395238,58,"Worcester, MA",msa,MA,2022-08-31,-0.8,-1.2,0.6
394415,59,"Bridgeport, CT",msa,CT,2022-08-31,0.3,0.2,0.4
394653,60,"Greenville, SC",msa,SC,2022-08-31,0.5,0.7,3.7
394312,61,"Albuquerque, NM",msa,NM,2022-08-31,0.2,0.3,3.1
394357,62,"Bakersfield, CA",msa,CA,2022-08-31,0.0,-0.9,1.6
394308,63,"Albany, NY",msa,NY,2022-08-31,0.8,0.9,1.9
394753,64,"Knoxville, TN",msa,TN,2022-08-31,0.4,0.8,5.3
394843,65,"McAllen, TX",msa,TX,2022-08-31,0.8,1.3,3.7
394367,66,"Baton Rouge, LA",msa,LA,2022-08-31,0.0,-1.0,-2.0
753906,67,"North Port, FL",msa,FL,2022-08-31,-0.6,-1.2,2.9
394908,68,"New Haven, CT",msa,CT,2022-08-31,0.4,0.5,2.3
394486,69,"Columbia, SC",msa,SC,2022-08-31,0.6,0.9,3.3
394318,70,"Allentown, PA",msa,PA,2022-08-31,0.6,0.6,2.8
394561,71,"El Paso, TX",msa,TX,2022-08-31,0.7,1.1,3.0
394952,72,"Oxnard, CA",msa,CA,2022-08-31,-0.7,-2.2,-1.4
394457,73,"Charleston, SC",msa,SC,2022-08-31,0.3,0.3,3.0
845158,74,"Dayton, OH",msa,OH,2022-08-31,0.1,-0.2,2.4
394440,75,"Cape Coral, FL",msa,FL,2022-08-31,-0.3,-1.1,2.6
394648,76,"Greensboro, NC",msa,NC,2022-08-31,0.7,0.8,4.4
394399,77,"Boise City, ID",msa,ID,2022-08-31,-1.5,-2.7,3.9
395134,78,"Stockton, CA",msa,CA,2022-08-31,-1.0,-2.9,-0.5
394484,79,"Colorado Springs, CO",msa,CO,2022-08-31,-0.7,-1.1,3.1
394798,80,"Little Rock, AR",msa,AR,2022-08-31,0.0,-0.7,-0.9
394766,81,"Lakeland, FL",msa,FL,2022-08-31,0.3,-0.2,4.8
394531,82,"Des Moines, IA",msa,IA,2022-08-31,0.3,0.0,0.3
394304,83,"Akron, OH",msa,OH,2022-08-31,0.2,-0.1,1.5
395115,84,"Springfield, MA",msa,MA,2022-08-31,-0.1,-0.6,0.5
394931,85,"Ogden, UT",msa,UT,2022-08-31,-0.8,-1.7,3.5
394528,86,"Deltona, FL",msa,FL,2022-08-31,0.1,-0.2,4.0
395235,87,"Winston, NC",msa,NC,2022-08-31,0.6,0.6,4.1
394816,89,"Madison, WI",msa,WI,2022-08-31,-0.3,-1.0,-0.3
395006,90,"Provo, UT",msa,UT,2022-08-31,-0.3,-0.4,4.3
394549,91,"Durham, NC",msa,NC,2022-08-31,-0.4,-1.1,2.9
395143,92,"Syracuse, NY",msa,NY,2022-08-31,0.5,0.2,1.9
395224,93,"Wichita, KS",msa,KS,2022-08-31,0.3,0.1,1.1
395160,94,"Toledo, OH",msa,OH,2022-08-31,0.5,0.3,1.9
394352,95,"Augusta, GA",msa,GA,2022-08-31,0.6,0.5,3.0
394957,96,"Palm Bay, FL",msa,FL,2022-08-31,0.4,0.4,4.4
394711,97,"Jackson, MS",msa,MS,2022-08-31,-0.1,-0.8,-0.4
394666,98,"Harrisburg, PA",msa,PA,2022-08-31,0.3,-0.1,0.6
395113,99,"Spokane, WA",msa,WA,2022-08-31,-0.8,-1.1,4.6
394460,100,"Chattanooga, TN",msa,TN,2022-08-31,0.5,0.6,4.5
395075,101,"Scranton, PA",msa,PA,2022-08-31,0.5,0.1,2.7
394871,102,"Modesto, CA",msa,CA,2022-08-31,-0.8,-2.6,-0.6
394590,103,"Fayetteville, AR",msa,AR,2022-08-31,0.4,0.4,4.4
394770,104,"Lansing, MI",msa,MI,2022-08-31,0.4,0.3,1.8
394768,105,"Lancaster, PA",msa,PA,2022-08-31,0.1,-0.4,1.3
394997,106,"Portland, ME",msa,ME,2022-08-31,0.2,0.4,3.2
395245,107,"Youngstown, OH",msa,OH,2022-08-31,0.3,0.3,3.2
394589,108,"Fayetteville, NC",msa,NC,2022-08-31,1.0,1.2,3.3
394792,109,"Lexington, KY",msa,KY,2022-08-31,0.1,-0.1,1.6
394898,110,"Myrtle Beach, SC",msa,SC,2022-08-31,0.7,0.3,4.4
394971,111,"Pensacola, FL",msa,FL,2022-08-31,0.0,-0.1,3.9
394995,112,"Port St. Lucie, FL",msa,FL,2022-08-31,0.2,0.1,4.9
395068,113,"Santa Rosa, CA",msa,CA,2022-08-31,-0.9,-2.6,-3.6
394761,114,"Lafayette, LA",msa,LA,2022-08-31,0.4,-0.1,-1.2
394698,115,"Huntsville, AL",msa,AL,2022-08-31,0.3,0.1,4.4
395019,116,"Reno, NV",msa,NV,2022-08-31,-1.5,-2.8,0.0
395116,117,"Springfield, MO",msa,MO,2022-08-31,0.1,0.0,3.9
395195,118,"Visalia, CA",msa,CA,2022-08-31,-0.4,-1.3,0.9
394746,119,"Killeen, TX",msa,TX,2022-08-31,0.6,0.7,4.9
394338,120,"Asheville, NC",msa,NC,2022-08-31,0.2,0.2,3.2
395244,121,"York, PA",msa,PA,2022-08-31,0.1,-0.2,0.8
395183,122,"Vallejo, CA",msa,CA,2022-08-31,0.2,-0.5,0.6
753917,123,"Santa Maria, CA",msa,CA,2022-08-31,-0.7,-2.1,-0.2
395048,124,"Salem, OR",msa,OR,2022-08-31,0.1,0.2,3.3
395050,125,"Salinas, CA",msa,CA,2022-08-31,-0.8,-2.0,-0.6
394502,126,"Corpus Christi, TX",msa,TX,2022-08-31,0.0,-0.7,-0.8
394870,127,"Mobile, AL",msa,AL,2022-08-31,0.4,0.4,2.3
394421,128,"Brownsville, TX",msa,TX,2022-08-31,1.1,1.4,4.8
395051,129,"Salisbury, MD",msa,DE,2022-08-31,0.1,-0.7,1.1
